time,V
77,3.8307418298165544e+16
78,3.954832272863335e+16
79,4.064049393998939e+16
80,4.171255327730265e+16
81,4.273841333512625e+16
82,4.366826622458821e+16
83,4.477387003078315e+16
84,4.583431523415161e+16
85,4.6816839246999304e+16
86,4.8235718429715464e+16
87,5.010527200565854e+16
88,5.1919440319797464e+16
89,5.406649288215117e+16
90,5.56189049267308e+16
91,5.7501631174155736e+16
92,5.870519120249263e+16
93,5.956376844372738e+16
94,6.04247205716205e+16
95,6.157114279725067e+16
96,6.2748451159739176e+16
97,6.404689531099979e+16
98,6.560705828205939e+16
99,6.6938658673110184e+16
100,6.880793532609246e+16
101,7.071417137838343e+16
102,7.236924780493986e+16
103,7.40929118636052e+16
104,7.518617500871205e+16
105,7.634055977792422e+16
106,7.736788866889515e+16
107,7.839384390334771e+16
108,7.931868677059352e+16
109,8.091728224401357e+16
110,8.207321739821491e+16
111,8.350986459989568e+16
112,8.413894562182488e+16
113,8.478244676320066e+16
114,8.555916386727523e+16
115,8.662803949301275e+16
116,8.894388413906896e+16
117,9.018748482508174e+16
118,9.070563229575955e+16
119,9.103184343739898e+16
120,9.164923243254726e+16
121,9.218026896605502e+16
122,9.266948231800173e+16
123,9.30932564860962e+16
124,9.352358191303288e+16
125,9.397845537777989e+16
126,9.449016313844827e+16
127,9.487030238600718e+16
128,9.524742482245994e+16
129,9.579445465808624e+16
130,9.635707695072826e+16
131,9.685865883998715e+16
132,9.722256118102347e+16
133,9.746107828930211e+16
134,9.791990079128205e+16
135,9.82635888734638e+16
136,9.854835032991536e+16
137,9.895788313703853e+16
138,9.927433283439206e+16
139,9.971019864282427e+16
140,1.0016233723972365e+17
141,1.0068748118821613e+17
142,1.0116906372098027e+17
143,1.0145567186679106e+17
144,1.0209555286401429e+17
145,1.0268104942015235e+17
146,1.0295400391974779e+17
147,1.0329418300704778e+17
148,1.035121975092531e+17
149,1.0367627658648787e+17
150,1.0406440192350646e+17
151,1.0444186840128365e+17
152,1.0487537574143392e+17
153,1.0522254064905958e+17
154,1.0560218775069469e+17
155,1.0632366351254157e+17
156,1.0676102627900322e+17
157,1.0708702910010963e+17
158,1.0737223420804018e+17
159,1.0775298974202203e+17
160,1.0800029463818886e+17
161,1.0822072742991277e+17
162,1.0849000729023485e+17
163,1.0885333906837568e+17
164,1.0919489049518314e+17
165,1.0950888019668363e+17
166,1.0990467058155541e+17
167,1.102067380309874e+17
168,1.1047273846284334e+17
169,1.1084603204859822e+17
170,1.112162065957453e+17
171,1.116039185883668e+17
172,1.1206859690047336e+17
173,1.1249646038677107e+17
174,1.1278255810250083e+17
175,1.131111334359464e+17
176,1.1335263179937694e+17
177,1.1362212429295886e+17
178,1.1398886763002467e+17
179,1.1428463716067987e+17
180,1.1480966358997514e+17
181,1.1510089170431805e+17
182,1.1530192828732589e+17
183,1.1586660644831027e+17
184,1.1636109250734766e+17
185,1.1662745290230952e+17
186,1.1700409264357272e+17
187,1.1737825621252208e+17
188,1.1774701863295507e+17
189,1.1801141574376946e+17
190,1.1829770867860309e+17
191,1.186685646011984e+17
192,1.1908281731944013e+17
193,1.1947912664300347e+17
194,1.1978666939370181e+17
195,1.2000228973797554e+17
196,1.2029944770666774e+17
197,1.2057394159099318e+17
198,1.2083501121464398e+17
199,1.2144615253789078e+17
200,1.219365562183835e+17
201,1.2219675226140872e+17
202,1.2241851229468686e+17
203,1.2265196681185883e+17
204,1.2297514581128029e+17
205,1.2314255369049717e+17
206,1.233914566244262e+17
207,1.2363016169314842e+17
208,1.2384403312662653e+17
209,1.2398328804510771e+17
210,1.2413261221271418e+17
211,1.2433500394284112e+17
212,1.245271778721597e+17
213,1.2466895608011418e+17
214,1.2484243993907782e+17
215,1.2494024638206062e+17
216,1.2506509069344762e+17
217,1.2524863232115157e+17
218,1.2540952521029794e+17
219,1.2550443770364317e+17
220,1.2558277400470261e+17
221,1.2567200097859114e+17
222,1.2576977021363634e+17
223,1.2580962048033994e+17
224,1.2586763470684294e+17
225,1.2594719271303443e+17
